subject,xmin,xmax,ymin,ymax,zmin,zmax,surface_area,cg_x,cg_y,cg_z,density,mass,volume,cg_inert_tensor_x,cg_inert_tensor_y,cg_inert_tensor_z
uavwing,-0.018664582632977194,100.01866458263298,-6.050000000000001,6.049999999999999,-0.018664582632977194,200.018664582633,41739.112645965186,41.05340373041015,0.0,100.00000038445609,2.76799e-08,0.004304096391256128,155495.3735835797,15.185600592558707,17.534434315254323,2.4209080138931096
uavwing,-0.022464795087100378,100.0224647950871,-6.050000000000001,6.049999999999999,-0.022464795087100378,250.02246479508713,51948.091327763635,41.259880391988816,0.0,124.88149219275736,2.76799e-08,0.005441792151022717,196597.2474981021,29.637054820729645,32.60527155278758,3.0591397161258342
uavwing,-0.026376099554991594,100.026376099555,-6.050000000000001,6.049999999999999,-0.026376099554991594,300.026376099555,62156.97721357703,41.3944490755152,0.0,149.80398949015415,2.76799e-08,0.006579424283593243,237696.82273394204,51.16579192494951,54.75295721649002,3.696937044861079
uavwing,-0.03035558267639986,100.0303555826764,-6.050000000000001,6.049999999999999,-0.03035558267639986,350.0303555826764,72365.90120561435,41.489453895252076,0.0,174.74932718734817,2.76799e-08,0.007717065541686709,278796.72765027,81.19444579322963,85.40042147390126,4.334596181292044
uavwing,-0.03437957663110079,100.0343795766311,-6.050000000000001,6.049999999999999,-0.03437957663110079,400.0343795766312,82574.89145613568,41.56036503285493,0.0,199.70871292773174,2.76799e-08,0.008854772472324846,319899.0051381994,121.14643655513512,125.97125462974921,4.97228725340318
uavwing,-0.03843410293956041,100.03843410293956,-6.050000000000001,6.049999999999999,-0.03843410293956041,450.0384341029396,92783.88512882787,41.615170769252884,0.0,224.67734728457725,2.76799e-08,0.00999248666851149,361001.5451107659,172.4432506757466,177.88686047972772,5.609927554716446
uavwing,-0.04251042601004071,100.04251042601004,-6.050000000000001,6.049999999999999,-0.04251042601004071,500.0425104260101,102992.88726107609,41.65883921900277,0.0,249.65239557662613,2.76799e-08,0.01113025293259197,402105.966155657,236.50806443137623,242.5704198349172,6.247524223280691
uavwing,-0.046602826408344206,100.04660282640836,-6.050000000000001,6.049999999999999,-0.046602826408344206,550.0466028264084,113201.87997318702,41.69435620536393,0.0,274.6320707085381,2.76799e-08,0.01226797495190354,443208.7887565901,314.7611176552848,321.44218402373957,6.885084126556141
uavwing,-0.05070741157999572,100.05070741157999,-6.050000000000001,6.049999999999999,-0.05070741157999572,600.0507074115801,123410.87721474559,41.72396891258497,0.0,299.61519654392976,2.76799e-08,0.013405726371266318,484312.6735019388,408.62631380412586,415.926162083379,7.5227147868053335
uavwing,-0.05482146167871869,100.05482146167871,-6.055553324535554,6.0555533245355555,-0.05482146167871869,650.0548214616787,133619.87124913954,41.74883904146435,0.0,324.6009618259624,2.76799e-08,0.014543450498217288,525415.572246189,519.5241635651515,527.4426866479612,8.160238415864647
uavwing,-0.05894294729833459,100.05894294729833,-6.050000000000001,6.049999999999999,-0.05894294729833459,700.0589429472983,143828.86027314674,41.77010507085356,0.0,349.5887960459509,2.76799e-08,0.01568117581916076,566518.5141261623,648.8775825573006,657.4147630362085,8.797744801308307
uavwing,-0.06307045516992094,100.06307045516992,-6.050000000000001,6.049999999999999,-0.06307045516992094,750.06307045517,154037.83791296763,41.78849428658802,0.0,374.57827352718965,2.76799e-08,0.016818897213628413,607621.314153173,798.108546364605,807.2643696573058,9.435236523998206
uavwing,-0.0672028847128214,100.06720288471284,-6.0651890127891885,6.053158065896756,-0.0672028847128214,800.0672028847129,164246.81971208885,41.80455366019724,0.0,399.5690844503081,2.76799e-08,0.017956618805786244,648724.1213221956,968.6393118469858,978.413767963087,10.0727182701005
uavwing,-0.07133936576489316,100.0713393657649,-6.071192892987725,6.07119289298773,-0.07133936576489316,850.0713393657649,174455.80756282836,41.818700112263194,0.0,424.5609904964999,2.76799e-08,0.019094340193890065,689826.9211192982,1161.8920388861677,1172.2851208389166,10.71019296061221
uavwing,-0.07547920130820175,100.0754792013082,-6.072227944124715,6.072227944124713,-0.07547920130820175,900.0754792013082,184664.78515453739,41.83117066431372,0.0,449.55380287550577,2.76799e-08,0.02023203079097461,730928.6085200673,1379.2848985934172,1390.2965313136397,11.347592602466431
uavwing,-0.07962187167277457,100.07962187167277,-6.077613845177204,6.05033343155883,-0.07962187167277457,950.0796218716729,194873.82402405728,41.84225761160612,0.0,474.5473853169686,2.76799e-08,0.02136984806141017,772034.8722867557,1622.2545827437561,1633.8849091768966,11.985139954671753
uavwing,-0.020891498137670952,150.02089149813767,-9.017381407084802,9.017381407084804,-0.020891498137670952,200.0208914981377,68040.09961168366,62.3028491812041,0.0,100.00000185851157,2.76799e-08,0.009879323176153032,356913.2538828909,34.29903484563151,46.553365970841874,12.626288936905743
uavwing,-0.02434661752879012,150.02434661752878,-9.013749257853455,9.013749257853442,-0.02434661752879012,250.0243466175288,83353.59077485438,62.46287932620753,0.0,124.92210679193911,2.76799e-08,0.01243999783641302,449423.5107935007,66.86435637461278,82.25396731686597,15.857020161355553
uavwing,-0.02799634830634232,150.02799634830635,-9.016440977263839,9.01644097726384,-0.02799634830634232,300.0279963483064,98667.10018320424,62.56821036543073,0.0,149.87082907542532,2.76799e-08,0.015000680139324851,541934.0438124723,115.3854000615602,133.9098244261106,19.087286686566696
uavwing,-0.03177372305131925,150.03177372305134,-9.028843214886177,9.02884321488618,-0.03177372305131925,350.0317737230514,113980.58143897736,62.642673932544405,0.0,174.83451103947547,2.76799e-08,0.01756129707413997,634442.2152587245,183.06206776376814,204.72090985942992,22.317152712473373
uavwing,-0.03563806826741729,150.03563806826742,-9.035668440570692,9.035668440570692,-0.03563806826741729,400.0356380682675,129294.01011806302,62.6978095439187,0.0,199.8074122991932,2.76799e-08,0.020121820761040677,726947.0179097712,273.09310836316433,297.88564580986025,25.546299912971367
uavwing,-0.039563714799711144,150.0395637147997,-9.006551747232386,9.006551747232391,-0.039563714799711144,450.0395637147997,144607.42258452513,62.740344428617476,0.0,224.78644029851634,2.76799e-08,0.022682291803861204,819449.9186724374,388.6788115958187,416.6047229518571,28.775125545203313
uavwing,-0.04353467792026395,150.04353467792026,-9.04499355277182,9.04499355277182,-0.04353467792026395,500.0435346779203,159920.82692765925,62.77433578994395,0.0,249.7697229297884,2.76799e-08,0.025242774058583058,911953.2244908059,533.0211434059227,564.0804685029858,32.00399100763018
uavwing,-0.047538863858443026,150.04753886385848,-9.010886420878036,9.010886420878034,-0.047538863858443026,550.0475388638584,175234.32674330586,62.802403826248195,0.0,274.7560860478359,2.76799e-08,0.027803412705904026,1004462.1803512304,709.3269789044664,743.5203799747372,35.23351808669632
uavwing,-0.05156924525257656,150.05156924525258,-9.050483784989956,9.050483784989956,-0.05156924525257656,600.0515692452526,190547.8492440898,62.82581348215318,0.0,299.744749513973,2.76799e-08,0.03036408824370552,1096972.4689650438,920.7943169572449,958.1219112889612,38.46316278218397
uavwing,-0.055619580663712816,150.05561958066372,-9.042521126784166,9.042521126784166,-0.055619580663712816,650.0556195806637,205861.37022453954,62.84559124363526,0.0,324.7351762438763,2.76799e-08,0.03292475369286922,1189482.393103632,1170.62243907006,1211.084188554966,41.69276864930703
uavwing,-0.05968599030896794,150.05968599030896,-9.030391698286854,9.03039169828686,-0.05968599030896794,700.0596859903089,221174.87525035528,62.86250128850247,0.0,349.72698470780193,2.76799e-08,0.03548542875412411,1281992.664501104,1462.012587486382,1505.6084886433737,44.922371293387435
uavwing,-0.06376559325844204,150.06376559325844,-9.063419630458638,9.063419630458636,-0.06376559325844204,750.0637655932586,236488.38186194192,62.877146886453936,0.0,374.71989574632073,2.76799e-08,0.03804609693439894,1374502.687307358,1798.1652795187129,1844.8952949458526,48.15193681435647
uavwing,-0.06785570917839387,150.0678557091784,-9.060407333416647,9.060407333416643,-0.06785570917839387,800.0678557091785,251801.89122034798,62.889940092507,0.0,399.7137008853824,2.76799e-08,0.04060677151890395,1467012.9414811449,2182.2816973442127,2232.1458228502365,51.381498367180114
uavwing,-0.07195455316402576,150.07195455316403,-9.023581532469045,9.023581532469056,-0.07195455316402576,850.0719545531641,267115.4106179594,62.90121725288166,0.0,424.7082409555071,2.76799e-08,0.043167437770103886,1559522.8945951352,2617.562167215848,2670.5603884622965,54.6110447794874
uavwing,-0.07606103336477055,150.07606103336477,-9.04962051363629,9.049620513636293,-0.07606103336477055,900.0760610333649,282428.9241484601,62.91122312070859,0.0,449.70339249660447,2.76799e-08,0.04572810569887431,1652032.9083152146,3107.2077525225995,3163.3400694661836,57.84059079178285
uavwing,-0.08017378413189653,150.0801737841319,-9.077064282788347,9.07706428278835,-0.08017378413189653,950.0801737841321,297742.43851372227,62.92016926808802,0.0,474.69905826660147,2.76799e-08,0.04828877425398934,1744542.9446634324,3654.4193352812526,3713.685738247961,61.07012724352695
uavwing,-0.023659880027475134,200.02365988002748,-12.024327269465319,12.024327269465317,-0.023659880027475134,200.0236598800275,92306.73587512822,83.61669169411348,0.0,100.00000183994395,2.76799e-08,0.017824458697086473,643949.5336719595,61.24545990779878,100.44118275797227,40.389190827422574
